,商品名,ショップ名,レビュー本文,星評価
441,メンズドロップショルダーレターとファイヤーTシャツ,shein,まじでかわいいし生地も良かったから買ったほうがい！,5
442,メンズドロップショルダーレターとファイヤーTシャツ,shein,サイズもピッタリでデザインも可愛くて気に入りました！,5
443,メンズドロップショルダーレターとファイヤーTシャツ,shein,ちょーよかった！！！！！愛用です！！！！！！！！,5
444,メンズドロップショルダーレターとファイヤーTシャツ,shein,生地もプリントもしっかりしてる！お気に入り！,5
445,メンズドロップショルダーレターとファイヤーTシャツ,shein,ストリート系にピッタリ！,5
446,メンズドロップショルダーレターとファイヤーTシャツ,shein,めちゃくちゃいいから買った方がいいけど買うな。かぶるのが嫌なぐらいいい。,5
447,メンズドロップショルダーレターとファイヤーTシャツ,shein,これはガチでおすすめ、XLは身長１７０ｃｍ体重６０ｋｇで袖が肘まで隠れる。,5
448,メンズドロップショルダーレターとファイヤーTシャツ,shein,デザインが胸のところだけっていうのがまたいい！！,5
449,メンズドロップショルダーレターとファイヤーTシャツ,shein,めっちゃ可愛いこれオーバーで着てるよ！！！！！！！,5
450,メンズドロップショルダーレターとファイヤーTシャツ,shein,サイズはピッタリだったし、生地もしっかりしてて、この値段は安すぎる。,5
451,メンズドロップショルダーレターとファイヤーTシャツ,shein,まじでかわいい！生地はちょっと薄いかもだけどデザイン大優勝！！迷ってる人はみんな買って！,5
452,メンズドロップショルダーレターとファイヤーTシャツ,shein,SHEINで買った他のTシャツよりも生地がしっかりしてて良いです。デザインもかわいい。,5
453,メンズドロップショルダーレターとファイヤーTシャツ,shein,かわいいサブカル系好きな人おすすめ,5
454,メンズドロップショルダーレターとファイヤーTシャツ,shein,大きさもちょーど良くて大満足生地もしっかりしてる‼️丈はおしりがすっぽり隠れるくらいだからオーバーに着たい子はちょうどいい！！！！,5
455,メンズドロップショルダーレターとファイヤーTシャツ,shein,デザインもいいし〜質感もしっかりしててよかった〜サイズはちょうどよかった〜,5
456,メンズドロップショルダーレターとファイヤーTシャツ,shein,これはめちゃくちゃ買って正解！！！身長これでダボッと感とか全部完璧,5
457,メンズドロップショルダーレターとファイヤーTシャツ,shein,生地もしっかりしてて夏はこれで乗り切れます！！,5
458,メンズドロップショルダーレターとファイヤーTシャツ,shein,最高にかっこいい。生地もしっかりしてるしプリントも安っぽさがない！色違いも買った,5
459,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,大きさも、質も期待通りで納得,5
460,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,このようなシャツを探してたので、ちょうどよかったです！生地は少しペラペラですが、これから温かくなってきたら、ヘビーに使えそうです。,5
461,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,シティボーイっぽいのをイメージしてるなら結構このシャツはいい,5
462,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,少し大きめに着たかったのでいいサイズでした。,5
463,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,生地が薄くなく、シワにもなりにくい,5
464,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,ちょい大きいくらい。でも、腕まくれば大丈夫！これは買うべき,5
465,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,気持ちダボっと着たかったので少し大きめにしました。生地はしっかりしているし羽織って着てもいいと思う。,5
466,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,かなり薄いです！夏にぴったり！半袖の上から羽織るのがおすすめです！,5
467,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,色味は写真通り。生地も薄すぎず安っぽく見えない。,5
468,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,すごく質のいいものだと思うし大きさもちょうど良かった,5
469,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,鮮やかなブルーで夏向きです。小柄な旦那には少し大きめでしたが、許容範囲かな。,5
470,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,サイズちょうど良かった 身幅が大きいの探してたから,5
471,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,ちょっとCITYboy感のあるシャツ！ 満足のいくサイズ、生地、色合100点です！,5
472,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,パリッとした生地。シワになりにくいと思う。夏は暑いかも。,5
473,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,とてもかわいいです！！合わせやすい！,5
474,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,肌触りも良く春に合いそう。写真通りの服が届きました。,5
475,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,こんなスタイルできたらマジカッコ良いと思って買った。,5
476,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,オーバーサイズで良さそうです。,5
477,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,シルエットがいいしオーバーに着るのがいい,5
478,男性 ドロップショルダー カーブヘム ソリッド シャツ,shein,誰でもかっこよく着こなせると思います,5
479,男性 無地柄 ドロップショルダーTシャツ,shein,とても生地が厚くてしっかりしてて良い！,5
480,男性 無地柄 ドロップショルダーTシャツ,shein,今はやりのオーバーサイズっぽい感じで良かったです。,5
481,男性 無地柄 ドロップショルダーTシャツ,shein,しっかり目の生地で非常に良い！,5
482,男性 無地柄 ドロップショルダーTシャツ,shein,ストリート系じゃなくても肩幅しっかりある人なら絶対似合います。生地は重くてしっかりです！,5
483,男性 無地柄 ドロップショルダーTシャツ,shein,写真通りの色です！グレーというよりベージュって感じです！可愛くて生地もしっかりしてて大満足です！,5
484,男性 無地柄 ドロップショルダーTシャツ,shein,しっかりした生地で肌触りもgood,5
485,男性 無地柄 ドロップショルダーTシャツ,shein,これはイイ！生地も厚くていい感じです,5
486,男性 無地柄 ドロップショルダーTシャツ,shein,ダボっと着たいらしいので 大きいサイズを買いました,5
487,男性 無地柄 ドロップショルダーTシャツ,shein,ダボッと着れていい感じ！生地もしっかりしていた。,5
488,男性 無地柄 ドロップショルダーTシャツ,shein,ゆったり着るのにちょうどいいサイズでした。,5
489,男性 無地柄 ドロップショルダーTシャツ,shein,夏の部屋着。生地もしっかりしてていい感じ。,5
490,男性 無地柄 ドロップショルダーTシャツ,shein,サイズもちょうど良くこれからのシーズン活躍しそうです,5
491,男性 無地柄 ドロップショルダーTシャツ,shein,大優勝すぎた 何にでも合わせやすいし生地もしっかりしててかわいい早くこれ着たい,5
492,男性 無地柄 ドロップショルダーTシャツ,shein,少し厚めの布地でしっかりしていました。真夏には向いていなさそうですが、写真のままの商品で満足です。,5
493,男性 無地柄 ドロップショルダーTシャツ,shein,生地も悪くなく、とてもいい感じでたくさん着ても大丈夫！！色は思っていたより黒ではなくて少しグレーがかったような色だった。,5
494,男性 無地柄 ドロップショルダーTシャツ,shein,ちょっと大きめできやすかった！,5
495,男性 無地柄 ドロップショルダーTシャツ,shein,思っていた通りのカラーのTシャツで満足してます！,5
496,男性 無地柄 ドロップショルダーTシャツ,shein,とにかく可愛い、暑い夏にも最適,5
497,男性 無地柄 ドロップショルダーTシャツ,shein,ちょっと厚め、でもダボって着れるからよきよき,5
498,男性 無地柄 ドロップショルダーTシャツ,shein,とてもいいです！いろんなズボンでも着回ししやすいと思います,5
499,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,結構素材はしっかりめ！ 可愛い！,5
500,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,品質も素材も最高です！とても快適でサイズもぴったりです。お勧めします,5
501,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,大丈夫、かわいい、大好き、シェインが大好きです。安くて価値がある,5
502,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,完璧なデザインと質感は何にでも合います,5
503,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,夫はその柔らかな感触が気に入っており、外側はフランネルです。普段のLサイズより少し小さめです。曲げると肩や背中が窮屈に感じます。,5
504,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,生地はとてもいいです。変デザインも美しい。,5
505,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,お父さん用に買いました！ちょっと生地が分厚くてまだ今の気候じゃ暑いかなって感じです。,5
506,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,とても素敵です 🥰🥰🥰 素敵な商品、品質も良いです...とても満足しています,5
507,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,とても満足しています。娘も夫もとても気に入っています。サイズもぴったりでとても満足です。また注文させていただきます,5
508,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,非常に美しい。素敵な生地暑くない。,5
509,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,素材の品質が気に入っています。安っぽくはなく、私の肌の色をとてもよく引き立てます。,5
510,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,このシャツは本当に素敵でクールです!色と生地が大好きです。,5
511,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,サイズもちょうど良く、素材もしっかりしています,5
512,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,生地もとても綺麗です🥺 履き心地もとても良いです。間違いなくまた購入します,5
513,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,良品質。間違いなく値段の価値があります。,5
514,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,体にフィットする良い素材がよさそうだね,5
515,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,購入に満足しています。サイズもぴったりで、品質も良いです。この製品をお勧めします。,5
516,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,素敵ですが、キータンのような素材はとても柔らかいです,5
517,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,すべて良いです、素敵でファッショナブルです,5
518,男性 格子縞プリント Tシャツなし シャツ,Manfinity Homme,滑らかなコットン素材のシャツです。触るとまるで枕のようです。着ていると暖かく感じます。,5
519,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,プリントだけどかわいい。値段の割に満足です。,5
520,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,プリントはこんな感じです！ストリート系でめっちゃ可愛いです！,5
521,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,サイズは155cm女Lでオーバーサイズできれました！！ストリート系で着たい人はワンサイズ大きめをオススメします！！！！プリントがめっちゃ可愛いけどなんか取れちゃいそうです、、、,5
522,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,ふつうに古着屋さんにありそう！可愛い,5
523,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,古着ぽくて可愛いナ,5
524,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,生地いい感じー！ピッタリだからワンサイズ大きめおすすめ,5
525,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,これは満足 黒だから透ける心配もないし、プリント大きめでかわいい,5
526,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,大きめで買ったのですが想像通りだったので良かったです。ただプリント感はかなりあるので気にしない方にオススメです。,3
527,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,とても満足です、ただプリント感が強いです。,3
528,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,重ね着にちょうどいい大きさだと思う！かわいい！,5
529,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,古着ってぽくてかわいい！,5
530,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,サイズもピッタリだった、生地はまぁまぁ薄かった,5
531,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,めっちゃ可愛くてお気に入りです！少し大きめに着たいと思い買いましたが、とっても予想してたサイズのままで嬉しいです。,5
532,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,流行りのバンドTシャツみたいでめっちゃいいです。,5
533,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,生地薄めだけど夏だからいいや、プリントはテカテカ,4
534,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,思ったほどペラペラじゃないし軽く着るくらいならちょーどいー,5
535,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,女だけどダボっと着たくてメンズ服購入！ サラッとしてて夏にぴったり。でも生地は薄いから1シーズンで買い替え必要やと思う。 安いから良し！！,5
536,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,ゆったり着たくて買いました！,5
537,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,ストリートならこれ買うべき,5
538,男性 オートバイ＆スローガングラフィック Tシャツ,Manfinity Chillmode,かわいいです！デザインも形もよかったです！,5
539,男性 スローガングラフィック ドロップショルダーTシャツ,Manfinity Chillmode,普通に良かった。薄すぎる事もなく厚すぎる事もない生地です。,5
540,男性 スローガングラフィック ドロップショルダーTシャツ,Manfinity Chillmode,生地もしっかりしていて丈夫でした✨,5
541,男性 スローガングラフィック ドロップショルダーTシャツ,Manfinity Chillmode,どっちかといえばペラペラ。中の下ぐらいのペラさ。ルームウェアだからいいけど。,5
542,男性 スローガングラフィック ドロップショルダーTシャツ,Manfinity Chillmode,ロゴもオシャレでいい感じです,5
543,男性 スローガングラフィック ドロップショルダーTシャツ,Manfinity Chillmode,とても良い商品でした。たくさん使います。,5
544,男性 スローガングラフィック ドロップショルダーTシャツ,Manfinity Chillmode,比較的、生地もまともでデザインも可愛かったので良き。,5
545,男性 スローガングラフィック ドロップショルダーTシャツ,Manfinity Chillmode,全然悪くない、私が見ているものは本当に好きです,5
546,男性 スローガングラフィック ドロップショルダーTシャツ,Manfinity Chillmode,商品の品質: 生地が薄い,1
547,男性 スローガングラフィック ドロップショルダーTシャツ,Manfinity Chillmode,良くて快適でした,5
548,男性 スローガングラフィック ドロップショルダーTシャツ,Manfinity Chillmode,写真通りでカッコよかったです。,4
549,男性 スローガングラフィック ドロップショルダーTシャツ,Manfinity Chillmode,色が少し薄いけどいい,4
550,男性 スローガングラフィック ドロップショルダーTシャツ,Manfinity Chillmode,サイズ感もよくいい感じです。,5
551,男性 スローガングラフィック ドロップショルダーTシャツ,Manfinity Chillmode,色合いが想像通り。サイズも丁度良い。,5
552,男性 スローガングラフィック ドロップショルダーTシャツ,Manfinity Chillmode,ゆったり着たかったのになんかすごくジャストフィットで残念,4
553,男性 スローガングラフィック ドロップショルダーTシャツ,Manfinity Chillmode,大きくて可愛かった！,5
554,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,かわいいいい！！！生地薄くないよ！大きめに着たいからちょうどいい！,5
555,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,しっかりとした生地感で春や秋などにちょうど良いと思う。,5
556,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,少しだぼっときれるのでいい感じ,5
557,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,程よい大きさで着やすかったです,5
558,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,縦に長くて、肩らへんが窮屈です！,5
559,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,思ったよりブカブカで着れなかったけどまあいいかな,5
560,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,生地はサラサラでどの季節にもキレそうでした！,5
561,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,めっちゃかっこいいチェックシャツ,5
562,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,肩のところが少し小さくて動きにくい！,5
563,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,ボタンの穴がちっちゃいけどちゃんと着れる‼️,5
564,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,薄さがちょうど良く今の季節にピッタリ,5
565,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,デザインもよくサイズもちょうどいいどんなズボンにもあう！,5
566,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,若干肩幅狭い感じですが、気に入っています！,5
567,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,流行りのチェックシャツだが、他のブランド商品と見劣りしないくらいよくできていると感じた。,5
568,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,生地よかった！！分厚すぎず、薄すぎず、値段の割には良き！！ただ、なんか知らんけど糸がいっぱいついてた笑,4
569,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,薄すぎず、厚すぎずちょうど良かった！,5
570,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,少しオーバーサイズ。かわいい。,5
571,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,重ね着用に欲しかった。ちょうどいい生地の厚さ！,5
572,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,生地がめっちゃいい！洗濯しても皺にならないし、しっかりしてるのに、分厚く無い。この生地最高！迷ってるならかったほうがいい！,5
573,男性 コットン 格子縞プリント Tシャツなし シャツ,Manfinity Homme,この値段でこの質感最高！！超おすすめ！サイズもぴったり！スウェットとかパーカーの上に着るなら一個大きめサイズが良い！,5
574,男性 縞模様プリント ドロップショルダー シャツ,DAZY,しっかりとした生地。シワになりにくそうな生地です。,5
575,男性 縞模様プリント ドロップショルダー シャツ,DAZY,襟がめっちゃきれいな形！,5
576,男性 縞模様プリント ドロップショルダー シャツ,DAZY,美しい生地、形をハックして、とても気に入りました,5
577,男性 縞模様プリント ドロップショルダー シャツ,DAZY,いい感じ✨ゆったり着れます(*•̀ᴗ•́*)👍,5
578,男性 縞模様プリント ドロップショルダー シャツ,DAZY,かっこいいですが一度パジャマっぽいと言われると確かにそう見えます笑。ですが腕まくりしてみると割としっかりカッコよく着れました！177センチ細めです、すこしダボっとした感じで着れてめっちゃいいです！,4
579,男性 縞模様プリント ドロップショルダー シャツ,DAZY,だいぶ生地うすめ。うえに何か羽織らないと安っぽく見えるかも,4
580,男性 縞模様プリント ドロップショルダー シャツ,DAZY,素材は良いです。通常のシャツより丈が短いので、タックアウトして着るのがおすすめです。,5
581,男性 縞模様プリント ドロップショルダー シャツ,DAZY,フィット感が良く、ワンサイズアップするとオーバーサイズに見えます,5
582,男性 縞模様プリント ドロップショルダー シャツ,DAZY,超このとても素敵なドレスシャツ最高の品質,5
583,男性 縞模様プリント ドロップショルダー シャツ,DAZY,便利で、新鮮で快適です。,5
584,男性 縞模様プリント ドロップショルダー シャツ,DAZY,生地が良くて爽やかです,5
585,男性 縞模様プリント ドロップショルダー シャツ,DAZY,非常に正しいサイズ..そして素材は素晴らしいです,5
586,男性 縞模様プリント ドロップショルダー シャツ,DAZY,見た目も良く、素材もとても良いです,5
587,男性 縞模様プリント ドロップショルダー シャツ,DAZY,少し糸くずがあり、通気性は劣りますが、全体的に良好です,4
588,男性 無地柄 ポロシャツ,Manfinity Hypemode,生地が厚めなので真夏はちょっと暑そう〜。でも高見えします！写真よりちょいクリーム色っぽい。,5
589,男性 無地柄 ポロシャツ,Manfinity Hypemode,素材感めっちゃいいです。高見え効果,5
590,男性 無地柄 ポロシャツ,Manfinity Hypemode,素材感はめっちゃ良き。高見えする。低身長で足が短く見えてしまうので、着丈短くして身幅を少し広くしてほしかった。でもこの価格なら星５です。,5
591,男性 無地柄 ポロシャツ,Manfinity Hypemode,丈は長めだけど無臭で質感も良かった 真夏に着るにはちょっと暑いかもしれないです！それぐらい生地はしっかりしてる,5
592,男性 無地柄 ポロシャツ,Manfinity Hypemode,高見えします。合わせやすいしオシャレで買って良かった。,5
593,男性 無地柄 ポロシャツ,Manfinity Hypemode,生地がしっかりしているので、暑い夏に着ると少し暑いかもしれないです！でも少し暑いぐらいの日に着ればいい感じに着れると思います！！,5
594,男性 無地柄 ポロシャツ,Manfinity Hypemode,質感が可愛い！サイズも良くて着心地も良かったです！,5
595,男性 無地柄 ポロシャツ,Manfinity Hypemode,素材や質感はとてもいいです！日本サイズ３Lとの記載を見て選びましたが細身のオーバーサイズに作られており、XLよりのXXLサイズくらいでした。,5
596,男性 無地柄 ポロシャツ,Manfinity Hypemode,少し生地あついけどしっかりしてる、いい色。,5
597,男性 無地柄 ポロシャツ,Manfinity Hypemode,サイズはギリちょうどいい感じです。デザインと生地はお気に入りになりました。でも値段は高いかな。それでも普通に満足した感じです。,5
598,男性 無地柄 ポロシャツ,Manfinity Hypemode,思ったより厚みがありましたが、サイズもピッタリで満足です,5
599,男性 無地柄 ポロシャツ,Manfinity Hypemode,着丈が長くて身幅が狭い。素材感は良き。,5
600,男性 無地柄 ポロシャツ,Manfinity Hypemode,素材が少し分厚くて、夏本番は暑いかなーといったかんじです。デザインがとても綺麗なので、高見えする服だなーと思います。,5
601,男性 無地柄 ポロシャツ,Manfinity Hypemode,着丈が長くて身幅が狭い。素材感は良き。,5
602,男性 無地柄 ポロシャツ,Manfinity Hypemode,ボタン部分が斜めっていたり、ラインが写真と合っていなかったです。デザイン、質感はめちゃめちゃ良いです。,3
603,男性 無地柄 ポロシャツ,Manfinity Hypemode,完璧なサイズ良い品質文句はありません私はそれが好きです♥️,5
604,男性 無地柄 ポロシャツ,Manfinity Hypemode,品質が良く、私の期待を上回りました！とっても可愛くてスタイリストも❤️❤️❤️❤️❤️❤️❤️でもちょっと大きいけどオーバーサイズの服が好きなので大丈夫です,5
605,男性 無地柄 ポロシャツ,Manfinity Hypemode,シンプルでスマートな外観。素材は良く快適です。大好きです。,5
606,男性 無地柄 ポロシャツ,Manfinity Hypemode,サイズ通り！生地が厚いので晴れの日には着れませんが、それでも綺麗です,5
607,男性 文字グラフィック ポロシャツ,Manfinity Hypemode,普通にきるサイズより大きめを買う方が良かったかな？ダボって着たかった,5
608,男性 文字グラフィック ポロシャツ,Manfinity Hypemode,これは良い！ 生地も厚めで肌触りもいいです。 エリもしっかりとしているので、 安いものには見えません,5
609,男性 文字グラフィック ポロシャツ,Manfinity Hypemode,ロゴが可愛すぎる襟の部分薄いかもと思ってたけどそんな事ないしっかりしてた,5
610,男性 文字グラフィック ポロシャツ,Manfinity Hypemode,ストリート系になれちゃう,5
611,男性 文字グラフィック ポロシャツ,Manfinity Hypemode,めっちゃペラい！だから夏にいい！,5
612,男性 文字グラフィック ポロシャツ,Manfinity Hypemode,サラサラで生地薄いから夏場大活躍,5
613,男性 文字グラフィック ポロシャツ,Manfinity Hypemode,色がめっちゃいいから、なんでも合わせやすそう！！生地も薄すぎず厚すぎずでちょうどいいよーー とりあえず服ない人これ買っとこ,5
614,男性 文字グラフィック ポロシャツ,Manfinity Hypemode,ダボダボに着れた！夏に着ると暑いかも笑,5
615,男性 文字グラフィック ポロシャツ,Manfinity Hypemode,いい感じにダボって着れそう!おしり隠れて最高👍,5
616,男性 文字グラフィック ポロシャツ,Manfinity Hypemode,素材が良くて、デザインがとにかく可愛い！,5
617,男性 文字グラフィック ポロシャツ,Manfinity Hypemode,かわいい。ストリート系の格好の時にかわちい、素材感は意外と薄いのでこの時期は一枚だと寒い…アウターと合わせて切る感じ！,5
618,男性 文字グラフィック ポロシャツ,Manfinity Hypemode,ゆったりサイズで着心地バツグン,5
619,男性 文字グラフィック ポロシャツ,Manfinity Hypemode,サラサラしてて個人的にめっちゃ好き,5
620,男性 文字グラフィック ポロシャツ,Manfinity Hypemode,めっちゃかわいいし足細く見えます,5
621,男性 文字グラフィック ポロシャツ,Manfinity Hypemode,サイズもピッタリでデザインも良い！,5
622,男性 文字グラフィック ポロシャツ,Manfinity Hypemode,結構生地が、スポーツ服みたいな感じ、サイズ感はマル,4
